"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Conduit API","1","Favorites","4","0","Favorite","0"
"0","Conduit API","0","Comments","3","0","Create","0"
"0","Conduit API","0","Articles","2","0","Delete","0"
"0","Conduit API","0","Favorites","1","0","Unfavorite","0"
"0","Conduit API","0","Auth","3","0","Login","0"
"0","Conduit API","0","Auth","2","0","Current user","0"
"0","Conduit API","1","Comments","4","0","Delete","0"
"0","Conduit API","0","Articles","2","0","Update","0"
"0","Conduit API","2","Auth","2","0","Validation","0"
"0","Conduit API","0","Auth","2","0","Registration","0"
"0","Conduit API","0","Articles","2","0","Create","0"
"0","Conduit API","0","Articles","2","0","Read","0"
"0","Conduit API","0","Comments","1","0","Read","0"
